Date,Date,Open,High,Low,Close,Volume,Turnover,Year,Month,Day,WeekOfYear,vol_(t+1),volume_shock,VOL_SHOCK_DIR,price_t+1,price_shock,price_black_swan,PRICE_SHOCK_DIR,BLACK_SWAN_SHOCK_DIR,not_vol_shock,price_shock_w/0_vol_shock
2015-08-10,2015-08-10,2572.0,2589.0,2556.6,2572.1,715591,184370154265000.0,2015,8,10,33,594253.0,1,0.0,2552.05,0,0,,,0,0
2015-08-11,2015-08-11,2578.0,2610.0,2542.1,2604.2,1100153,285552687690000.0,2015,8,11,33,715591.0,1,0.0,2572.1,0,0,,,0,0
2015-08-12,2015-08-12,2603.1,2691.4,2602.0,2671.7,1739892,462546014315000.0,2015,8,12,33,1100153.0,1,0.0,2604.2,1,1,0.0,0.0,0,0
2015-08-13,2015-08-13,2670.0,2684.0,2556.0,2635.6,703213,186505713810000.0,2015,8,13,33,1739892.0,1,1.0,2671.7,0,0,,,0,0
2015-08-14,2015-08-14,2638.0,2719.35,2637.1,2703.2,1146982,308401606740000.0,2015,8,14,33,703213.0,1,0.0,2635.6,1,1,0.0,0.0,0,0
2015-08-15,2015-08-14,2638.0,2719.35,2637.1,2703.2,1146982,308401606740000.0,2015,8,14,33,1146982.0,0,,2703.2,0,0,,,1,0
2015-08-16,2015-08-14,2638.0,2719.35,2637.1,2703.2,1146982,308401606740000.0,2015,8,14,33,1146982.0,0,,2703.2,0,0,,,1,0
2015-08-17,2015-08-17,2690.1,2696.8,2655.0,2684.75,386822,103420779720000.0,2015,8,17,34,1146982.0,1,1.0,2703.2,0,0,,,0,0
2015-08-18,2015-08-18,2706.9,2749.9,2690.0,2740.9,958463,262298463255000.03,2015,8,18,34,386822.0,1,0.0,2684.75,1,1,0.0,0.0,0,0
2015-08-19,2015-08-19,2750.0,2752.85,2721.9,2733.6,845035,231460037350000.0,2015,8,19,34,958463.0,1,1.0,2740.9,0,0,,,0,0
2015-08-20,2015-08-20,2745.0,2745.0,2672.0,2686.85,1174649,317477177120000.0,2015,8,20,34,845035.0,1,0.0,2733.6,0,0,,,0,0
2015-08-21,2015-08-21,2712.0,2729.9,2655.1,2676.15,1768040,474594336130000.0,2015,8,21,34,1174649.0,1,0.0,2686.85,0,0,,,0,0
2015-08-22,2015-08-21,2712.0,2729.9,2655.1,2676.15,1768040,474594336130000.0,2015,8,21,34,1768040.0,0,,2676.15,0,0,,,1,0
2015-08-23,2015-08-21,2712.0,2729.9,2655.1,2676.15,1768040,474594336130000.0,2015,8,21,34,1768040.0,0,,2676.15,0,0,,,1,0
2015-08-24,2015-08-24,2639.0,2645.0,2569.1,2578.65,2346172,609992831760000.0,2015,8,24,35,1768040.0,1,0.0,2676.15,1,1,1.0,1.0,0,0
2015-08-25,2015-08-25,2587.9,2622.0,2535.5,2567.15,1962900,505375128475000.0,2015,8,25,35,2346172.0,1,1.0,2578.65,0,0,,,0,0
2015-08-26,2015-08-26,2558.05,2639.0,2511.95,2576.75,1608079,416803329530000.0,2015,8,26,35,1962900.0,1,1.0,2567.15,0,0,,,0,0
2015-08-27,2015-08-27,2614.9,2614.9,2545.8,2574.65,2632399,677291640590000.0,2015,8,27,35,1608079.0,1,0.0,2576.75,0,0,,,0,0
2015-08-28,2015-08-28,2609.0,2609.0,2557.7,2570.85,1372076,354258511895000.0,2015,8,28,35,2632399.0,1,1.0,2574.65,0,0,,,0,0
2015-08-29,2015-08-28,2609.0,2609.0,2557.7,2570.85,1372076,354258511895000.0,2015,8,28,35,1372076.0,0,,2570.85,0,0,,,1,0
2015-08-30,2015-08-28,2609.0,2609.0,2557.7,2570.85,1372076,354258511895000.0,2015,8,28,35,1372076.0,0,,2570.85,0,0,,,1,0
2015-08-31,2015-08-31,2590.0,2590.0,2531.05,2564.05,1846022,473694451870000.0,2015,8,31,36,1372076.0,1,0.0,2570.85,0,0,,,0,0
2015-09-01,2015-09-01,2556.0,2611.2,2530.0,2537.4,1493801,384578953050000.0,2015,9,1,36,1846022.0,1,1.0,2564.05,0,0,,,0,0
2015-09-02,2015-09-02,2559.7,2620.45,2548.0,2591.8,1882975,488652294545000.0,2015,9,2,36,1493801.0,1,0.0,2537.4,1,1,0.0,0.0,0,0
2015-09-03,2015-09-03,2596.1,2615.0,2576.25,2605.6,1132537,293865969020000.0,2015,9,3,36,1882975.0,1,1.0,2591.8,0,0,,,0,0
2015-09-04,2015-09-04,2611.4,2614.9,2539.15,2547.45,1213198,311665198535000.0,2015,9,4,36,1132537.0,0,,2605.6,1,1,1.0,1.0,1,1
2015-09-05,2015-09-04,2611.4,2614.9,2539.15,2547.45,1213198,311665198535000.0,2015,9,4,36,1213198.0,0,,2547.45,0,0,,,1,0
2015-09-06,2015-09-04,2611.4,2614.9,2539.15,2547.45,1213198,311665198535000.0,2015,9,4,36,1213198.0,0,,2547.45,0,0,,,1,0
2015-09-07,2015-09-07,2553.0,2559.95,2532.7,2539.75,879592,223988315980000.03,2015,9,7,37,1213198.0,1,1.0,2547.45,0,0,,,0,0
2015-09-08,2015-09-08,2545.0,2564.1,2523.5,2540.3,893873,227089993095000.0,2015,9,8,37,879592.0,0,,2539.75,0,0,,,1,0
2015-09-09,2015-09-09,2562.95,2574.0,2544.0,2549.75,1022538,261569201425000.0,2015,9,9,37,893873.0,1,0.0,2540.3,0,0,,,0,0
2015-09-10,2015-09-10,2542.0,2578.5,2527.0,2545.4,1332909,340401963810000.0,2015,9,10,37,1022538.0,1,0.0,2549.75,0,0,,,0,0
2015-09-11,2015-09-11,2546.5,2568.4,2540.6,2552.0,796336,203351663785000.0,2015,9,11,37,1332909.0,1,1.0,2545.4,0,0,,,0,0
2015-09-12,2015-09-11,2546.5,2568.4,2540.6,2552.0,796336,203351663785000.0,2015,9,11,37,796336.0,0,,2552.0,0,0,,,1,0
2015-09-13,2015-09-11,2546.5,2568.4,2540.6,2552.0,796336,203351663785000.0,2015,9,11,37,796336.0,0,,2552.0,0,0,,,1,0
2015-09-14,2015-09-14,2565.0,2565.0,2543.0,2551.65,794659,202875015155000.0,2015,9,14,38,796336.0,0,,2552.0,0,0,,,1,0
2015-09-15,2015-09-15,2551.65,2558.9,2536.0,2547.6,689950,175858396195000.0,2015,9,15,38,794659.0,1,1.0,2551.65,0,0,,,0,0
2015-09-16,2015-09-16,2555.0,2565.0,2541.05,2550.35,878408,224327605165000.0,2015,9,16,38,689950.0,1,0.0,2547.6,0,0,,,0,0
2015-09-17,2015-09-16,2555.0,2565.0,2541.05,2550.35,878408,224327605165000.0,2015,9,16,38,878408.0,0,,2550.35,0,0,,,1,0
2015-09-18,2015-09-18,2565.0,2586.0,2539.0,2551.25,1227647,314914130585000.0,2015,9,18,38,878408.0,1,0.0,2550.35,0,0,,,0,0
2015-09-19,2015-09-18,2565.0,2586.0,2539.0,2551.25,1227647,314914130585000.0,2015,9,18,38,1227647.0,0,,2551.25,0,0,,,1,0
2015-09-20,2015-09-18,2565.0,2586.0,2539.0,2551.25,1227647,314914130585000.0,2015,9,18,38,1227647.0,0,,2551.25,0,0,,,1,0
2015-09-21,2015-09-21,2550.0,2557.1,2533.2,2551.05,554420,141142975740000.0,2015,9,21,39,1227647.0,1,1.0,2551.25,0,0,,,0,0
2015-09-22,2015-09-22,2557.5,2572.4,2490.0,2526.8,1040623,264853628415000.0,2015,9,22,39,554420.0,1,0.0,2551.05,0,0,,,0,0
2015-09-23,2015-09-23,2534.3,2557.75,2512.6,2532.65,614176,155593159675000.0,2015,9,23,39,1040623.0,1,1.0,2526.8,0,0,,,0,0
2015-09-24,2015-09-24,2535.5,2590.0,2529.9,2580.4,1177127,301556264485000.0,2015,9,24,39,614176.0,1,0.0,2532.65,0,0,,,0,0
